COCO METRICS:
AP: 0.6204380939291109
AP50: 0.7509823487636956
AP75: 0.7137314875176992
APsmall: nan
APmedium: 0.5101166531316574
APlarge: 0.6631678922871906
AR1: 0.8167768817439869
AR10: 0.8257493128216812
AR100: 0.8260782601901022
ARsmall: nan
ARmedium: 0.7549382716049382
ARlarge: 0.8425145696237029

PASCAL METRIC (AP per class)
bella: 0.38422255762135055
cat-Abyssinian: 0.7191919191919192
cat-Bengal: 0.3061261970352879
cat-Birman: 0.9572829131652663
cat-Bombay: 0.8765432098765431
cat-British_Shorthair: 0.924025974025974
cat-Egyptian_Mau: 0.6454421768707483
cat-Maine_Coon: 0.85393642305407
cat-Persian: 0.9529561347743167
cat-Ragdoll: 0.8111421477343266
cat-Russian_Blue: 0.8084415584415584
cat-Siamese: 0.8672850678733032
cat-Sphynx: 0.7133597883597883
dog-american_bulldog: 0.7310248447204968
dog-american_pit_bull_terrier: 0.6414930555555555
dog-basset_hound: 0.5988445378151261
dog-beagle: 0.701344537815126
dog-boxer: 0.58490860990861
dog-chihuahua: 0.5579969880354989
dog-english_cocker_spaniel: 0.41862416364405347
dog-english_setter: 0.4666666666666666
dog-german_shorthaired: 0.6289682539682538
dog-great_pyrenees: 0.9054093567251461
dog-havanese: 0.7630490698283372
dog-japanese_chin: 0.8942307692307693
dog-keeshond: 0.7781904380714803
dog-leonberger: 0.8386363636363637
dog-miniature_pinscher: 0.7956954156954157
dog-newfoundland: 0.9666666666666667
dog-pomeranian: 1.0
dog-pug: 0.975
dog-saint_bernard: 0.9388278388278388
dog-samoyed: 0.9384615384615385
dog-scottish_terrier: 0.8618055555555556
dog-shiba_inu: 0.5215504204649849
dog-staffordshire_bull_terrier: 0.670353302611367
dog-wheaten_terrier: 0.6752887227223766
dog-yorkshire_terrier: 0.8918518518518519

PASCAL METRIC (mAP)
mAP: 0.7517064483290402
