,id,width,height,1box,2box,3box,4box,5box,6box,7box,8box,9box,10box
0,Ragdoll_139_jpg.rf.c630dfd422505d4dc547d7d188f887b6.jpg,500,386,"{'bounding_box': array([-0.00097947,  0.42716634,  0.49326152,  0.7803813 ], dtype=float32), 'class_id': 8.0, 'score': 0.8926942}","{'bounding_box': array([3.8394332e-04, 3.8418680e-01, 5.8001566e-01, 1.0747960e+00],
      dtype=float32), 'class_id': 17.0, 'score': 0.023491561}","{'bounding_box': array([0.005849  , 0.85487676, 0.10236655, 1.0089571 ], dtype=float32), 'class_id': 3.0, 'score': 0.01829034}","{'bounding_box': array([0.50133264, 0.0029326 , 1.026916  , 0.18557689], dtype=float32), 'class_id': 37.0, 'score': 0.018057406}","{'bounding_box': array([0.24539211, 0.55316967, 0.30999532, 0.64571077], dtype=float32), 'class_id': 37.0, 'score': 0.01358068}","{'bounding_box': array([-0.00886098, -0.16810685,  0.59975874,  0.8504452 ], dtype=float32), 'class_id': 1.0, 'score': 0.011607707}","{'bounding_box': array([-0.00640879,  0.70121133,  0.052644  ,  0.8335216 ], dtype=float32), 'class_id': 35.0, 'score': 0.01075846}","{'bounding_box': array([0.16043839, 0.00096986, 0.7034929 , 0.15884557], dtype=float32), 'class_id': 13.0, 'score': 0.009398222}","{'bounding_box': array([-0.10706124,  0.39096183,  0.44923487,  1.1435866 ], dtype=float32), 'class_id': 28.0, 'score': 0.008018762}","{'bounding_box': array([-0.14619175, -0.2591704 ,  0.44870988,  0.73315036], dtype=float32), 'class_id': 1.0, 'score': 0.007996768}"
1,Persian_128_jpg.rf.16da80c477d1ca2bc131b0e46470c98d.jpg,500,334,"{'bounding_box': array([0.1227735 , 0.26662484, 0.46229067, 0.5659579 ], dtype=float32), 'class_id': 7.0, 'score': 0.9870366}","{'bounding_box': array([0.00196283, 0.6492651 , 0.1677419 , 1.0055683 ], dtype=float32), 'class_id': 10.0, 'score': 0.03084451}","{'bounding_box': array([0.29120612, 0.30534253, 0.46471387, 0.54035926], dtype=float32), 'class_id': 7.0, 'score': 0.01933667}","{'bounding_box': array([0.6168747, 0.8434197, 1.0036976, 1.0247602], dtype=float32), 'class_id': 14.0, 'score': 0.015157014}","{'bounding_box': array([-7.4193627e-04,  5.1512963e-01,  8.3584093e-02,  8.1656665e-01],
      dtype=float32), 'class_id': 3.0, 'score': 0.014285833}","{'bounding_box': array([0.6371265 , 0.02247453, 1.023318  , 0.6463372 ], dtype=float32), 'class_id': 22.0, 'score': 0.0111528635}","{'bounding_box': array([0.723701  , 0.00309228, 1.0117962 , 0.13372919], dtype=float32), 'class_id': 7.0, 'score': 0.009944648}","{'bounding_box': array([0.35365468, 0.729525  , 1.0101213 , 1.0392854 ], dtype=float32), 'class_id': 32.0, 'score': 0.00900054}","{'bounding_box': array([0.00875928, 0.54313576, 0.20198748, 0.98213243], dtype=float32), 'class_id': 17.0, 'score': 0.008395106}","{'bounding_box': array([0.0806047 , 0.10158545, 0.10899697, 0.16649887], dtype=float32), 'class_id': 33.0, 'score': 0.008086503}"
2,american_bulldog_148_jpg.rf.f0a7b86489589aa05534a6f8cb0fe70a.jpg,500,375,"{'bounding_box': array([0.33362025, 0.3217033 , 0.73908323, 0.69332623], dtype=float32), 'class_id': 16.0, 'score': 0.28804958}","{'bounding_box': array([ 0.21025911, -0.13461483,  0.778407  ,  0.75114626], dtype=float32), 'class_id': 16.0, 'score': 0.025314957}","{'bounding_box': array([4.4554472e-04, 7.1232629e-01, 2.7789727e-01, 1.0300198e+00],
      dtype=float32), 'class_id': 36.0, 'score': 0.014144629}","{'bounding_box': array([ 0.18594292, -0.00624897,  0.41700467,  0.06033407], dtype=float32), 'class_id': 1.0, 'score': 0.013923138}","{'bounding_box': array([-0.05036838,  0.4757234 ,  0.25980347,  1.0378878 ], dtype=float32), 'class_id': 36.0, 'score': 0.012726992}","{'bounding_box': array([0.02925259, 0.74355805, 0.4894991 , 1.0785079 ], dtype=float32), 'class_id': 36.0, 'score': 0.0126538575}","{'bounding_box': array([0.5059575 , 0.5743685 , 0.53467894, 0.655089  ], dtype=float32), 'class_id': 10.0, 'score': 0.011495799}","{'bounding_box': array([0.22268909, 0.24043795, 0.76208997, 1.1653703 ], dtype=float32), 'class_id': 13.0, 'score': 0.011261821}","{'bounding_box': array([-0.11062374,  0.75977445,  0.32059476,  1.0895218 ], dtype=float32), 'class_id': 36.0, 'score': 0.010892421}","{'bounding_box': array([ 0.8357444 , -0.01250076,  1.0073193 ,  0.2150738 ], dtype=float32), 'class_id': 5.0, 'score': 0.010302156}"
3,1817.jpg,691,924,"{'bounding_box': array([0.37614614, 0.4552086 , 0.56422424, 0.7606911 ], dtype=float32), 'class_id': 19.0, 'score': 0.61698335}","{'bounding_box': array([0.38160652, 0.47976884, 0.5506854 , 0.682842  ], dtype=float32), 'class_id': 21.0, 'score': 0.04910457}","{'bounding_box': array([-0.18590519, -0.1795085 ,  0.70762014,  0.9269629 ], dtype=float32), 'class_id': 7.0, 'score': 0.03598824}","{'bounding_box': array([-0.13035059,  0.07230777,  0.52992105,  0.8878111 ], dtype=float32), 'class_id': 7.0, 'score': 0.029762238}","{'bounding_box': array([-0.00151997,  0.01417628,  0.14112306,  0.25751644], dtype=float32), 'class_id': 5.0, 'score': 0.01872006}","{'bounding_box': array([-0.00256496,  0.26589543,  0.07611132,  0.47283047], dtype=float32), 'class_id': 33.0, 'score': 0.015393615}","{'bounding_box': array([-0.00342488,  0.02902568,  0.07443981,  0.23885271], dtype=float32), 'class_id': 21.0, 'score': 0.012408674}","{'bounding_box': array([-0.02775306, -0.01453209,  0.38282728,  0.8642049 ], dtype=float32), 'class_id': 28.0, 'score': 0.011864632}","{'bounding_box': array([0.59327406, 0.9319904 , 0.8736134 , 0.9980103 ], dtype=float32), 'class_id': 14.0, 'score': 0.011805803}","{'bounding_box': array([-0.00227059,  0.1015793 ,  0.05485083,  0.2620749 ], dtype=float32), 'class_id': 35.0, 'score': 0.009931207}"
4,great_pyrenees_153_jpg.rf.8bf2248d590ea8d786c88f371fd565d0.jpg,500,413,"{'bounding_box': array([0.14354706, 0.6680342 , 0.37962663, 0.90601826], dtype=float32), 'class_id': 21.0, 'score': 0.8977132}","{'bounding_box': array([0.120177  , 0.67177796, 0.39532116, 1.0233715 ], dtype=float32), 'class_id': 21.0, 'score': 0.03892678}","{'bounding_box': array([ 0.1338958 , -0.00412132,  0.5221394 ,  0.16315103], dtype=float32), 'class_id': 5.0, 'score': 0.0308761}","{'bounding_box': array([0.04113423, 0.00238645, 0.219235  , 0.06937413], dtype=float32), 'class_id': 37.0, 'score': 0.013023376}","{'bounding_box': array([ 0.18414009, -0.22359902,  1.1324668 ,  0.9904422 ], dtype=float32), 'class_id': 24.0, 'score': 0.0101644695}","{'bounding_box': array([0.14659369, 0.46782663, 1.037793  , 1.0586272 ], dtype=float32), 'class_id': 24.0, 'score': 0.008957118}","{'bounding_box': array([0.26295236, 0.304619  , 0.52576613, 0.452922  ], dtype=float32), 'class_id': 22.0, 'score': 0.008905441}","{'bounding_box': array([ 0.18313807, -0.04018408,  1.0181098 ,  0.40643322], dtype=float32), 'class_id': 24.0, 'score': 0.0076025724}","{'bounding_box': array([0.15232088, 0.5767004 , 0.4085083 , 0.92194146], dtype=float32), 'class_id': 23.0, 'score': 0.0069874823}","{'bounding_box': array([0.33579922, 0.4776547 , 0.37353444, 0.52278113], dtype=float32), 'class_id': 13.0, 'score': 0.006876558}"
5,Siamese_100_jpg.rf.626c287e034f7b8ffa56fd433bf0c652.jpg,500,375,"{'bounding_box': array([0.11946522, 0.41095623, 0.57614505, 0.69943154], dtype=float32), 'class_id': 10.0, 'score': 0.95601237}","{'bounding_box': array([ 0.03801787, -0.09753492,  0.62432384,  0.71789837], dtype=float32), 'class_id': 4.0, 'score': 0.028251022}","{'bounding_box': array([0.05323946, 0.37779492, 0.6234672 , 1.117826  ], dtype=float32), 'class_id': 17.0, 'score': 0.01735735}","{'bounding_box': array([0.5582315 , 0.9330943 , 0.81657803, 0.9986811 ], dtype=float32), 'class_id': 18.0, 'score': 0.012131304}","{'bounding_box': array([-0.00057827,  0.34393886,  0.05756491,  0.42963925], dtype=float32), 'class_id': 6.0, 'score': 0.011565298}","{'bounding_box': array([0.12970208, 0.21938376, 0.60259974, 0.6861317 ], dtype=float32), 'class_id': 10.0, 'score': 0.011095047}","{'bounding_box': array([-0.0010087 ,  0.64687115,  0.08336179,  0.93868655], dtype=float32), 'class_id': 3.0, 'score': 0.009784877}","{'bounding_box': array([0.46070525, 0.19894595, 0.48542294, 0.26552796], dtype=float32), 'class_id': 2.0, 'score': 0.008791357}","{'bounding_box': array([0.40075535, 0.41489398, 0.56337374, 0.66768205], dtype=float32), 'class_id': 2.0, 'score': 0.008740485}","{'bounding_box': array([0.00131045, 0.25506288, 0.06872678, 0.38425392], dtype=float32), 'class_id': 10.0, 'score': 0.008547276}"
6,Maine_Coon_174_jpg.rf.a13aabba3f9564144fbd928eb2c49513.jpg,375,500,"{'bounding_box': array([0.07850488, 0.38940394, 0.33449757, 0.68571794], dtype=float32), 'class_id': 4.0, 'score': 0.50973934}","{'bounding_box': array([0.01851064, 0.36101118, 0.68849474, 1.1788877 ], dtype=float32), 'class_id': 36.0, 'score': 0.020689756}","{'bounding_box': array([0.04552636, 0.23599324, 0.3276292 , 0.66678536], dtype=float32), 'class_id': 8.0, 'score': 0.015719205}","{'bounding_box': array([0.60581475, 0.00154509, 1.0212462 , 0.26211697], dtype=float32), 'class_id': 37.0, 'score': 0.015513539}","{'bounding_box': array([0.05031139, 0.4378708 , 0.3100669 , 0.8990025 ], dtype=float32), 'class_id': 36.0, 'score': 0.014283836}","{'bounding_box': array([-0.00832288,  0.00779191,  0.1131606 ,  0.3014219 ], dtype=float32), 'class_id': 10.0, 'score': 0.013024956}","{'bounding_box': array([0.14611292, 0.3133461 , 1.2857922 , 1.2667258 ], dtype=float32), 'class_id': 22.0, 'score': 0.012814313}","{'bounding_box': array([0.7920333 , 0.49544084, 0.83794546, 0.58269715], dtype=float32), 'class_id': 7.0, 'score': 0.011839986}","{'bounding_box': array([0.0165467, 0.0170638, 0.3271815, 0.6522898], dtype=float32), 'class_id': 36.0, 'score': 0.010790348}","{'bounding_box': array([-0.09984685,  0.36676085,  0.48555213,  1.248317  ], dtype=float32), 'class_id': 36.0, 'score': 0.009228319}"
7,1826.jpg,696,925,"{'bounding_box': array([0.15297318, 0.080448  , 0.96551037, 0.87939894], dtype=float32), 'class_id': 12.0, 'score': 0.7288258}","{'bounding_box': array([0.57380354, 0.65985394, 0.6761272 , 0.8246225 ], dtype=float32), 'class_id': 33.0, 'score': 0.013833046}","{'bounding_box': array([ 0.5338181 , -0.01231253,  1.0302533 ,  0.3121643 ], dtype=float32), 'class_id': 5.0, 'score': 0.013554841}","{'bounding_box': array([ 0.13823569, -0.02183993,  0.7478569 ,  0.20478363], dtype=float32), 'class_id': 13.0, 'score': 0.010050356}","{'bounding_box': array([0.1986728 , 0.9327292 , 0.4633604 , 0.99622625], dtype=float32), 'class_id': 37.0, 'score': 0.009228975}","{'bounding_box': array([0.5135858 , 0.94831055, 0.69325733, 1.0069882 ], dtype=float32), 'class_id': 37.0, 'score': 0.009133488}","{'bounding_box': array([0.06990729, 0.9300938 , 0.3454678 , 0.99595195], dtype=float32), 'class_id': 37.0, 'score': 0.008202314}","{'bounding_box': array([0.4025132 , 0.9398777 , 0.6572378 , 0.99658304], dtype=float32), 'class_id': 37.0, 'score': 0.007623017}","{'bounding_box': array([ 0.28103253, -0.28190374,  1.2504545 ,  0.8531951 ], dtype=float32), 'class_id': 5.0, 'score': 0.007214874}","{'bounding_box': array([0.22110659, 0.34393507, 0.5624983 , 0.8301862 ], dtype=float32), 'class_id': 27.0, 'score': 0.006995797}"
8,Siamese_109_jpg.rf.558bcd320e5b903c76da3503ac7718a0.jpg,500,399,"{'bounding_box': array([0.0651156 , 0.24583277, 0.72873306, 0.6756741 ], dtype=float32), 'class_id': 10.0, 'score': 0.9908292}","{'bounding_box': array([ 0.10760084, -0.11739293,  0.7971952 ,  0.6948179 ], dtype=float32), 'class_id': 10.0, 'score': 0.023054749}","{'bounding_box': array([0.08172221, 0.250487  , 0.4247989 , 0.6663438 ], dtype=float32), 'class_id': 26.0, 'score': 0.014680922}","{'bounding_box': array([0.00755165, 0.26091203, 0.08537242, 0.41149923], dtype=float32), 'class_id': 8.0, 'score': 0.0130188465}","{'bounding_box': array([0.01374124, 0.03186026, 0.15338196, 0.3244919 ], dtype=float32), 'class_id': 10.0, 'score': 0.011716187}","{'bounding_box': array([0.39275622, 0.22825071, 0.7185495 , 0.66249144], dtype=float32), 'class_id': 10.0, 'score': 0.010903269}","{'bounding_box': array([0.6303073 , 0.00567583, 0.8821528 , 0.05926579], dtype=float32), 'class_id': 37.0, 'score': 0.010353774}","{'bounding_box': array([0.8377771, 0.7998878, 1.0044409, 1.0133635], dtype=float32), 'class_id': 6.0, 'score': 0.008785725}","{'bounding_box': array([0.00144541, 0.05472153, 0.07686608, 0.24182725], dtype=float32), 'class_id': 3.0, 'score': 0.008652687}","{'bounding_box': array([ 0.5669402 , -0.00667286,  1.035816  ,  0.25769076], dtype=float32), 'class_id': 4.0, 'score': 0.007994294}"
9,Abyssinian_155_jpg.rf.fdd90a163673ab77ec9690317a69b94e.jpg,581,371,"{'bounding_box': array([0.12002333, 0.10186222, 0.5788873 , 0.3579745 ], dtype=float32), 'class_id': 5.0, 'score': 0.7850845}","{'bounding_box': array([ 0.10361326, -0.0538318 ,  0.63482875,  0.36028397], dtype=float32), 'class_id': 1.0, 'score': 0.026220858}","{'bounding_box': array([0.43694776, 0.00388677, 0.6360995 , 0.06730066], dtype=float32), 'class_id': 37.0, 'score': 0.016886711}","{'bounding_box': array([-0.02366048,  0.3372109 ,  0.33622414,  1.1194894 ], dtype=float32), 'class_id': 36.0, 'score': 0.015124053}","{'bounding_box': array([0.22436568, 0.10963523, 0.46275744, 0.26099345], dtype=float32), 'class_id': 1.0, 'score': 0.010774046}","{'bounding_box': array([0.00920661, 0.7232754 , 0.4173773 , 1.092498  ], dtype=float32), 'class_id': 36.0, 'score': 0.009350568}","{'bounding_box': array([-0.08215041,  0.65088147,  0.2503091 ,  1.1199684 ], dtype=float32), 'class_id': 36.0, 'score': 0.008933872}","{'bounding_box': array([0.13546897, 0.09598543, 0.39349145, 0.34727186], dtype=float32), 'class_id': 1.0, 'score': 0.008448452}","{'bounding_box': array([0.5925695, 0.8848787, 0.9197819, 1.0256507], dtype=float32), 'class_id': 5.0, 'score': 0.0071664453}","{'bounding_box': array([0.43877664, 0.18841136, 0.56814194, 0.33632207], dtype=float32), 'class_id': 0.0, 'score': 0.0067453086}"
